ApplStandard,Brand,Cap,Cap (Second Drum),CEC Cold,CEC Cold (Second Drum),CEC_,CEC_ (Second Drum),Cold Prog,Cold Prog (Second Drum),Cold Wat Cons,Cold Wat Cons (Second Drum),Combination,Combination (Second Drum),Conn_Mode,Conn_Mode (Second Drum),Country,delayStartMode,delayStartMode (Second Drum),Depth,Depth (Second Drum),DetergentType,DetergentType (Second Drum),Height,Height (Second Drum),Hot Wat Cons,Hot Wat Cons (Second Drum),internal_heater,internal_heater (Second Drum),Loading,Loading (Second Drum),MachineAction,MachineAction (Second Drum),Model No,Family Name,N-Standard,New SRI,New SRI (Second Drum),New Star,New Star (Second Drum),postProgenergy,postProgenergy (Second Drum),powerConsMode,powerConsMode (Second Drum),Prog Name,Prog Name (Second Drum),Sold_in,standbyPowerUsage,standbyPowerUsage (Second Drum),Submit_ID,SubmitStatus,Test Prog Time,Test Prog Time (Second Drum),Tot Wat Cons,Tot Wat Cons (Second Drum),Type,Type (Second Drum),WEI,WEI (Second Drum),Width,Width (Second Drum),ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Program Time,Program Time (Second Drum),Hot Water (L),Hot Water (L) (Second Drum),Cold Water (L),Cold Water (L) (Second Drum),Star Rating (old),Star Image Large,Star Image Large (Second Drum),Star Image Small,Star Image Small (Second Drum),Registration Number
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),FISHER & PAYKEL,6.5,,62,,509,,"Regular, Cold, High, ECO",,64.4,,False,,Dual,,New Zealand,,,,,Non Drum,,,,26.3,,No,,Top,,Agitator,,MW612,,AS/NZS 2040.1:2005/Amdt 3:2010,2.24,,2.0,,,,,,"Regular, Warm, High, ECO",,New Zealand,,,25359,Superseded,43.0,,91.0,,Non-Drum,,0.68,,,,,2007-03-31,Single product class,Available,,,43.0,,91.0,,91.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0009
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,5.5,,53,,440,,,,51.0,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,22.0,,No,,Top,,Agitator,,GW512,,AS/NZS 2040.1:2005/Amdt 3:2010,2.20884,,2.0,,0.001,,1.2,,"Regular, Auto, Warm/Cold, Eco",,"Australia,New Zealand",0.0,,26315,Approved,45.0,,73.0,,Non-Drum,,0.66,,,,,,Single product class,Unavailable,,,45.0,,73.0,,73.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0011
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,6.5,,62,,554,,,,63.0,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,28.0,,No,,Top,,Agitator,,GW612,,AS/NZS 2040.1:2005/Amdt 3:2010,2.05987,,2.0,,0.001,,1.2,,"Regular, Auto, Warm/Cold, Eco",,"Australia,New Zealand",0.0,,26336,Approved,45.0,,91.0,,Non-Drum,,0.65,,,,,,Single product class,Unavailable,,,45.0,,91.0,,91.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0010
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,5.5,,55,,464,,,,49.0,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,24.0,,No,,Top,,Agitator,,MW512,,AS/NZS 2040.1:2005/Amdt 3:2010,2.07383,,2.0,,0.001,,1.2,,"Regular, High, Warm, Eco",,"Australia,New Zealand",0.0,,26340,Approved,45.0,,73.0,,Non-Drum,,0.67,,,,,,Single product class,Unavailable,,,45.0,,73.0,,73.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0012
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,7,,68,,284,,,,79.0,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,12.0,,No,,Top,,Agitator,,IW712,,AS/NZS 2040.1:2005/Amdt 3:2010,3.77428,,3.5,,0.001,,1.3,,"Default, Cold/Warm, Eco (Save Water++)",,"Australia,New Zealand",0.0,,26344,Approved,47.0,,92.0,,Non-Drum,,0.65,,,,,,Single product class,Unavailable,,,47.0,,91.5,,91.5,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0014
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,6.5,,66,,562,,,,62.0,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,29.0,,No,,Top,,Agitator,,MW612,,AS/NZS 2040.1:2005/Amdt 3:2010,2.02591,,2.0,,0.001,,1.2,,"Regular, High, Warm, Eco",,"Australia,New Zealand",0.0,,26391,Approved,44.0,,92.0,,Non-Drum,,0.65,,,,,,Single product class,Unavailable,,,45.0,,92.0,,92.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0013
AS/NZS 2040.2:1998 (Legacy),SMEG,7.5,,,,417,,NA,,126.4,,False,,Dual,,Chile,True,,547.0,,Drum,,885.0,,31.36,,No,,Top,,Drum,,S850,,AS/NZS 2040.1:2005/Amdt 3:2010,3.2,,3.0,,,,,,HEAVY,,New Zealand,0.0,,26482,Superseded,59.0,,157.76,,Drum,,0.57,,540.0,,,2007-03-31,Single product class,Available,http://www.applico.co.nz/,,59.0,,157.76,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ZCW0030
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,7.5,,61,,581,,,,71.0,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,30.0,,No,,Top,,Agitator,,GW712,,AS/NZS 2040.1:2005/Amdt 3:2010,2.36263,,2.0,,0.001,,1.2,,"Regular, Auto, Warm/Cold, Eco",,"Australia,New Zealand",0.0,,26551,Approved,45.0,,100.0,,Non-Drum,,0.6,,,,,,Single product class,Unavailable,,,45.0,,100.0,,100.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0015
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,8,,64,,477,,,,80.0,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,24.0,,No,,Top,,Agitator,,IW812,,AS/NZS 2040.1:2005/Amdt 3:2010,3.00299,,3.0,,0.001,,1.3,,"Default, Warm, Eco (Save Water++)",,"Australia,New Zealand",0.0,,26684,Approved,49.0,,104.0,,Non-Drum,,0.59,,,,,,Single product class,Unavailable,,,50.0,,104.0,,104.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ZCW0016
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,5.5,,46,,474,,,,49.0,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,25.0,,No,,Top,,Agitator,,IW512,,AS/NZS 2040.1:2005/Amdt 3:2010,2.04315,,2.0,,0.001,,1.2,,"Default,Cold/Warm, Eco(Save Water++)",,New Zealand,0.0,,26686,Approved,42.0,,74.0,,Non-Drum,,0.64,,,,,,Single product class,Unavailable,,,45.0,,74.0,,74.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0017
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,8,,65,,321,,,,67.02,,False,,Dual,,New Zealand,True,,,,Drum,,,,14.66,,No,,Top,,Agitator,,WL80T65CW1,,AS/NZS 2040.1:2005/Amdt 3:2010,3.83,,3.5,,0.001,,1.4,,"Regular, High efficiency, Warm/Cold.",,"Australia,New Zealand",0.0,,30348,Approved,55.0,,81.69,,Non-Drum,,0.63,,,,,,Single product class,Unavailable,,,55.0,,82.0,,82.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0020
AS/NZS 2040.2:2005 (Legacy),TUSCANY,7.5,,82,,662,,"Warm Wash, Water Level High, Fuzzy",,119.97,,False,,Dual,,South Korea,True,,643.0,,Non Drum,,956.0,,34.31,,No,,Top,,Impeller,,TWT75,,AS/NZS 2040.1:2005/Amdt 3:2010,1.8047,,1.5,,0.0,,2.0,,"Warm Wash, Water Level High, Fuzzy",,"Australia,New Zealand",2.02,,30693,Approved,63.61,,154.27,,Non-Drum,,0.828,,598.0,,,,Single product class,Unavailable,,,63.61,,154.27,,154.27,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ZCW0021
AS/NZS 2040.2:2005 (Legacy),TUSCANY,6.5,,72,,593,,"Warm Wash, Water Level High, Fuzzy",,101.64,,False,,Dual,,South Korea,True,,643.0,,Non Drum,,956.0,,29.5,,No,,Top,,Impeller,,TWT65,,AS/NZS 2040.1:2005/Amdt 3:2010,1.685,,1.5,,0.0,,1.2,,"Warm Wash, Water Level High, Fuzzy",,"Australia,New Zealand",0.44,,30741,Approved,62.18,,131.13,,Non-Drum,,0.869,,598.0,,,,Single product class,Unavailable,,,62.18,,131.13,,131.13,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ZCW0022
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,7.5,,60,,645,,,,70.0,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,32.0,,No,,Top,,Agitator,,GW712,,AS/NZS 2040.1:2005/Amdt 3:2010,2.05028,,2.0,,0.001,,1.2,,"Regular, Auto, Warm/Cold, Eco",,"Australia,New Zealand",0.0,,30871,Approved,47.0,,103.0,,Non-Drum,,0.64,,,,,,Single product class,Unavailable,,,45.0,,104.0,,104.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0023
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,5.5,,55,,474,,,,50.94,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,24.6,,No,,Top,,Agitator,,MW512,,AS/NZS 2040.1:2005/Amdt 3:2010,2.0385,,2.0,,0.001,,1.2,,"Regular, High, Warm, Eco",,"Australia,New Zealand",0.0,,32132,Approved,40.0,,75.54,,Non-Drum,,0.65,,,,,,Single product class,Unavailable,,,40.0,,76.0,,76.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0025
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,5.5,,58,,472,,,,50.62,,False,,Dual,,New Zealand,True,,,,Non Drum,,,,24.54,,No,,Top,,Agitator,,GW512,,AS/NZS 2040.1:2005/Amdt 3:2010,2.0495,,2.0,,0.001,,1.2,,"Regular, High, Warm/Cold, Eco",,"Australia,New Zealand",0.0,,32143,Approved,38.0,,75.17,,Non-Drum,,0.65,,,,,,Single product class,Unavailable,,,40.0,,75.0,,75.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0024
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),AEG,7,,,,257,,Cotton 40 (Linen/Easycare 40),,74.9,,False,,Cold,,Germany,,,600.0,,Drum,,850.0,,0.5,,Yes on the warm wash program only,,Front,,Drum,,LL1600,,AS/NZS 2040.1:2005/Amdt 3:2010,4.162,,4.0,,,,,,Linen/Easycare 40,,New Zealand,,,33616,Superseded,132.0,,75.4,,Drum,,0.552,,600.0,,,2007-03-31,Single product class,Available,,,132.0,,75.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ZCW0026
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,8,,65,,321,,,,67.02,,False,,Dual,,New Zealand,True,,,,Drum,,,,14.66,,No,,Top,,Agitator,,WL80T65CW1,,AS/NZS 2040.1:2005/Amdt 3:2010,3.83,,3.5,,0.001,,1.4,,"Regular, High efficiency, Warm/Cold.",,"Australia,New Zealand",0.0,,34466,Approved,55.0,,81.69,,Non-Drum,,0.63,,,,,,Single product class,Unavailable,,,55.0,,82.0,,82.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0028
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,8,,65,,321,,,,67.02,,False,,Dual,,New Zealand,True,,,,Drum,,,,14.66,,No,,Top,,Agitator,,WL80T65DW1,,AS/NZS 2040.1:2005/Amdt 3:2010,3.83,,3.5,,0.001,,1.4,,"Regular, High efficiency, Warm/Cold.",,"Australia,New Zealand",0.0,,34466,Approved,55.0,,81.69,,Non-Drum,,0.63,,,,,,Single product class,Unavailable,,,55.0,,82.0,,82.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0028
AS/NZS 2040.2:2005 (Legacy),BOSCH,7,,,,259,,,,69.0,,False,,Cold,,Thailand,True,,,,Drum,,,,0.0,,Yes on the warm wash program only,,Front,,Drum,,WAE24460AU,,AS/NZS 2040.1:2005/Amdt 3:2010,4.03,,4.0,,0.0,,2.2,,"Cotton, 40C, & Intensive",,New Zealand,0.13,,34479,Approved,160.0,,69.0,,Drum,,0.61,,,,,,Single product class,Unavailable,,,160.0,,71.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ZCW0027
AS/NZS 2040.2:1998 (Legacy),SMEG,7.5,,,,419,,Heavy,,126.76,,False,,Dual,,Chile,False,,547.0,,Drum,,885.0,,28.93,,No,,Top,,Drum,,S800,,AS/NZS 2040.1:2005/Amdt 3:2010,3.12,,3.0,,,,,,Confirmed,,New Zealand,0.0,,34578,Superseded,57.0,,155.7,,Drum,,0.62,,540.0,,,2007-03-31,Single product class,Available,http://www.applico.co.nz/,,55.0,,155.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ZCW0029
AS/NZS 2040.2:2005 (Legacy),SAMSUNG,6,,84,,212,,"Cotton , Cold wash, 1200 rpm spin",,47.7,,False,,Cold,,China,True,,,,Drum,,,,0.5,,No,,Front,,Drum,,B1245AV,,AS/NZS 2040.1:2005/Amdt 3:2010,3.980577,,3.5,,0.000125,,2.31,,"Cotton, 40C, 1200 rpm spin",,New Zealand,2.31,,34579,Approved,128.0,,48.2,,Drum,,0.688,,,,,,Single product class,Unavailable,,,128.0,,48.0,,48.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0031
AS/NZS 2040.2:2005 (Legacy),BAUMATIC,6,,,,947,,,,93.8,,False,,Hot,,Chile,False,,,,Non Drum,,,,52.5,,No,,Top,,Impeller,,BK6EL,,AS/NZS 2040.1:2005/Amdt 3:2010,0.38,,1.0,,0.0,,2.26,,confirmed,,New Zealand,2.3,,34795,Approved,1.01,,146.3,,Non-Drum,,0.71,,,,,,Single product class,Unavailable,http://www.applico.co.nz/,,60.0,,145.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,,ZCW0032
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,7,,67,,311,,,,57.71,,False,,Dual,,New Zealand,True,,,,Drum,,,,14.09,,No,,Top,,Agitator,,WL70T60CW1,,AS/NZS 2040.1:2005/Amdt 3:2010,3.52851,,3.5,,0.0007,,1.27,,"Regular, High efficiency, Warm/Cold",,"Australia,New Zealand",0.0,,34927,Approved,54.0,,71.8,,Non-Drum,,0.69,,,,,,Single product class,Unavailable,,,54.0,,72.0,,72.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0033
AS/NZS 2040.2:2005 (Legacy),FISHER & PAYKEL,7,,67,,311,,,,57.71,,False,,Dual,,New Zealand,True,,,,Drum,,,,14.09,,No,,Top,,Agitator,,WL70T60DW1,,AS/NZS 2040.1:2005/Amdt 3:2010,3.52851,,3.5,,0.0007,,1.27,,"Regular, High efficiency, Warm/Cold",,"Australia,New Zealand",0.0,,34927,Approved,54.0,,71.8,,Non-Drum,,0.69,,,,,,Single product class,Unavailable,,,54.0,,72.0,,72.0,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0033
AS/NZS 2040.2:2005 (Legacy),SAMSUNG ELECTRONICS,6,,95,,217,,"Cotton, Cold, 3 rinses, 1200 rpm",,65.38,,False,,Cold,,China,True,,,,Drum,,,,0.5,,Yes on the warm wash program only,,Front,,Drum,,B1245AV,,AS/NZS 2040.1:2005/Amdt 3:2010,3.9073,,3.5,,0.0,,2.3,,"Cotton, 40 C, 3 rinses, 1200 rpm spin",,New Zealand,2.3,,35862,Approved,151.37,,65.88,,Drum,,0.7,,,,,,Single product class,Unavailable,,,151.37,,65.88,,64.85,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0034
