Submit_ID,Brand_Reg,Model_No,Family Name,N-Reg_Date,N-Grandfather-Date,Reg_No,SoldIn,Country,Prod_conf,nov,pno,Apply_type_for,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Input voltage (V) Max,Input voltage (V) Min,Output voltage (V) Min
95448,"A&H Design Group, Ltd",SW0501200-F03,,2016-03-22,,APS3834,"Australia,Fiji,New Zealand",China,AC-DC,5.0,6.0,High Efficiency 2014 (Mark VI),Approved,2021-03-22,,Class 1,Available,,,240.0,100.0,5.0
95452,UE,UES06W,UES06W,2015-12-21,,APS3488,"Australia,Fiji,New Zealand",China,AC-DC,5.0,5.0,High Efficiency 2014 (Mark VI),Approved,2020-12-21,,Class 1,Unavailable,,,240.0,100.0,5.0
95452,UE,UES06WNCP-050100SPA,UES06W,2015-12-21,,APS3488,"Australia,Fiji,New Zealand",China,AC-DC,5.0,5.0,High Efficiency 2014 (Mark VI),Approved,2020-12-21,,Class 1,Unavailable,,,240.0,100.0,5.0
95452,UE,UES06WNCPU-050100SPA,UES06W,2015-12-21,,APS3488,"Australia,Fiji,New Zealand",China,AC-DC,5.0,5.0,High Efficiency 2014 (Mark VI),Approved,2020-12-21,,Class 1,Unavailable,,,240.0,100.0,5.0
95452,UE,UES06WOCP-050100SPA,UES06W,2015-12-21,,APS3488,"Australia,Fiji,New Zealand",China,AC-DC,5.0,5.0,High Efficiency 2014 (Mark VI),Approved,2020-12-21,,Class 1,Unavailable,,,240.0,100.0,5.0
95452,UE,UES06WOCPU-050100SPA,UES06W,2015-12-21,,APS3488,"Australia,Fiji,New Zealand",China,AC-DC,5.0,5.0,High Efficiency 2014 (Mark VI),Approved,2020-12-21,,Class 1,Unavailable,,,240.0,100.0,5.0
95452,UE,UES06WS-050100SPA,UES06W,2015-12-21,,APS3488,"Australia,Fiji,New Zealand",China,AC-DC,5.0,5.0,High Efficiency 2014 (Mark VI),Approved,2020-12-21,,Class 1,Unavailable,,,240.0,100.0,5.0
95453,"BRIGHTPOWER OPTOELECTRONIC TECHNOLOGY CO., LTD",SW0750400-F03,,2015-12-16,,APS3462,"Australia,Fiji,New Zealand",China,AC-DC,7.5,3.0,High Efficiency 2008 (Mark V),Approved,2020-12-16,,Class 1,Available,,,240.0,100.0,7.5
95470,AXIS,FSP040-DAAN2,,2016-01-08,,APS3517,"Australia,Fiji,New Zealand",Taiwan,AC-DC,24.0,40.0,High Efficiency 2014 (Mark VI),Approved,2021-01-08,,Class 1,Available,http://www.fsp-group.com/,,240.0,100.0,24.0
95471,FSP,FSP065-DFAN2,,2016-01-15,,APS3547,"Australia,Fiji,New Zealand",Taiwan,AC-DC,48.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Available,http://www.fsp-group.com/,http://www.fsp-group.com/,240.0,100.0,48.0
95472,AXIS,FSP040-RHAN2,,2016-01-11,,APS3529,"Australia,Fiji,New Zealand",Taiwan,AC-DC,12.0,40.0,High Efficiency 2014 (Mark VI),Approved,2021-01-11,,Class 1,Available,http://www.fsp-group.com/,,240.0,100.0,12.0
95473,AXIS,FSP090-AFAN2,,2016-01-22,,APS3612,"Australia,Fiji,New Zealand",Taiwan,AC-DC,48.0,90.0,High Efficiency 2014 (Mark VI),Approved,2021-01-22,,Class 1,Available,http://www.fsp-group.com/,,240.0,100.0,48.0
